optFun,globalOptFun,Time,Rep,Gam,Sig2,MSE
simplex,ds,0.458804326324137,1,439.221433332023,2.38865700394306,0.0151990069958772
simplex,ds,0.369162828140642,2,3031.8969824985,2.44312125169655,0.0146598163077418
simplex,ds,0.354882911880043,3,4576.57719520239,3.07954093863411,0.0156400212531349
simplex,ds,0.452920564990597,4,2379.8964175425,2.55317410147242,0.0144641931811586
simplex,ds,0.459157295585486,5,324412.064555085,4.74462523379654,0.0144517850044348
simplex,ds,0.374799757822888,6,539.588100785398,2.29207130848519,0.0154282347414982
simplex,ds,0.358471844089845,7,617.110419007105,2.40945177007931,0.0147731240890043
simplex,ds,0.427933091696901,8,497.81861852887,2.0976561907055,0.0135964306904061
simplex,ds,0.387858562642876,9,665.754901096096,2.56134975188504,0.0148618733097448
simplex,ds,0.367275271241539,10,5060.82073036809,3.12261454160012,0.0151879580871879
simplex,csa,0.357993695919626,1,979.843181387037,2.36000587670033,0.0153283096739778
simplex,csa,0.355230239275077,2,554.550905981409,2.33707886599758,0.0147976125619671
simplex,csa,0.362088985631224,3,460.00457082634,2.17147433234978,0.0145548881448194
simplex,csa,0.370414264612698,4,6315.34365252596,3.05342017519168,0.0142966075247535
simplex,csa,0.347871129900093,5,560.347538395965,2.22355437559224,0.0144070372162091
simplex,csa,0.355791252356801,6,1088.45787625393,3.12195141257208,0.0151053641355746
simplex,csa,0.355650910932209,7,830.108518925653,2.22256460243999,0.0137074532794179
simplex,csa,0.3749654876459,8,4964.83137598477,2.54948807383535,0.0143645984389285
simplex,csa,0.367658565534332,9,404.547306875335,2.29463088654971,0.0149161130036812
simplex,csa,0.350112361293835,10,762.322225657659,2.21102424959127,0.0147344679100914
gridsearch,ds,0.635633463460629,1,810.159163151776,2.28860437167692,0.0142094061547145
gridsearch,ds,0.612060688145487,2,184191.875954731,3.14027299319166,0.0138555731588876
gridsearch,ds,0.608685441622375,3,1652.00454326188,2.8600705679564,0.0151519764070643
gridsearch,ds,0.607481255780709,4,1235.0135050493,2.54646825434931,0.0148164990383242
gridsearch,ds,0.610183709745725,5,585.780528122848,2.31227592928463,0.0148448085243021
gridsearch,ds,0.615048056359424,6,596.689674236446,2.3008837280169,0.0145142686219834
gridsearch,ds,0.614551219507035,7,2365.10574158687,2.97968858602532,0.0152687139605982
gridsearch,ds,0.609209782573051,8,329.167145930901,1.964350089338,0.015027702301263
gridsearch,ds,0.602367609199204,9,493.954833328526,1.96150996709977,0.0149810362382416
gridsearch,ds,0.602887366133499,10,430.138371208029,2.01825571202498,0.0143680016911981
gridsearch,csa,0.604138097372266,1,651.254473051574,2.35066099137628,0.0156007601880429
gridsearch,csa,0.609770795654776,2,6499.63204600977,3.47948664712418,0.0147282875523296
gridsearch,csa,0.607262280844348,3,620.273120194302,2.24741943044184,0.0144520475976767
gridsearch,csa,0.621776687173675,4,314.322559228806,2.24546447857972,0.0148008362915307
gridsearch,csa,0.608908295341828,5,447.528370002956,2.21523183186053,0.013984153899444
gridsearch,csa,0.61073202862824,6,506.624092387369,2.14385117591105,0.0142074805280281
gridsearch,csa,0.609844492533519,7,156834.288782848,3.51231683037615,0.0138542525707633
gridsearch,csa,0.609602950131896,8,575.338298608197,2.42124594435006,0.0143863613067326
gridsearch,csa,0.606308805437067,9,748.647546807282,2.7446504583727,0.0153462531895068
gridsearch,csa,0.617422224228219,10,2367.54590839728,2.78048871165298,0.014505488444175
